DATE_,ADJ CLOSE_9984.T,CLOSE_9984.T,HIGH_9984.T,LOW_9984.T,OPEN_9984.T,VOLUME_9984.T
2025-03-03,8297.45703125,8330.0,8390.0,8206.0,8380.0,8822600
2025-03-04,7901.01220703125,7932.0,7953.0,7809.0,7900.0,12539000
2025-03-05,7965.75830078125,7997.0,8148.0,7957.0,8009.0,9011000
2025-03-06,8154.02001953125,8186.0,8216.0,8032.0,8057.0,6761400
2025-03-07,7921.93017578125,7953.0,8001.0,7867.0,7886.0,7888600
2025-03-10,8035.48486328125,8067.0,8116.0,7983.0,7993.0,5617300
2025-03-11,7814.35205078125,7845.0,7845.0,7659.0,7710.0,10082500
2025-03-12,7750.60205078125,7781.0,7869.0,7750.0,7840.0,6375600
2025-03-13,7725.69970703125,7756.0,8007.0,7755.0,7931.0,8226400
2025-03-14,7805.3876953125,7836.0,7884.0,7606.0,7606.0,10296500
2025-03-17,7947.82861328125,7979.0,8055.0,7962.0,7980.0,5880500
2025-03-18,7932.88720703125,7964.0,8133.0,7950.0,8105.0,6263800
2025-03-19,7776.50048828125,7807.0,7919.0,7807.0,7884.0,6232700
2025-03-21,7928.90283203125,7960.0,8040.0,7900.0,7901.0,7281000
2025-03-24,8166.96923828125,8199.0,8225.0,8044.0,8050.0,7957500
2025-03-25,8200.8359375,8233.0,8383.0,8188.0,8330.0,7047900
2025-03-26,8316.3837890625,8349.0,8438.0,8242.0,8350.0,6700400
2025-03-27,7990.66064453125,8022.0,8093.0,7960.0,8045.0,8483000
2025-03-28,7910.75390625,7920.0,7925.0,7841.0,7850.0,6532700
2025-03-31,7470.26904296875,7479.0,7663.0,7448.0,7656.0,11336100
2025-04-01,7484.25244140625,7493.0,7563.0,7456.0,7500.0,7194200
2025-04-02,7456.28515625,7465.0,7528.0,7295.0,7500.0,9235000
2025-04-03,7163.62744140625,7172.0,7243.0,6860.0,6865.0,11158100
2025-04-04,6648.2294921875,6656.0,7031.0,6511.0,6968.0,18165400
2025-04-07,5828.18798828125,5835.0,6030.0,5730.0,5810.0,20188600
2025-04-08,6534.36279296875,6542.0,6563.0,6387.0,6435.0,11767100
2025-04-09,6062.91357421875,6070.0,6252.0,5940.0,6250.0,15514400
2025-04-10,6762.0966796875,6770.0,6977.0,6687.0,6970.0,15611400
2025-04-11,6703.16552734375,6711.0,6735.0,6326.0,6329.0,11777300
2025-04-14,6855.98681640625,6864.0,6964.0,6800.0,6802.0,7580300
2025-04-15,6904.9296875,6913.0,6969.0,6875.0,6946.0,5147300
2025-04-16,6730.1337890625,6738.0,6885.0,6695.0,6846.0,6246300
2025-04-17,6805.04638671875,6813.0,6850.0,6702.0,6734.0,5375500
