Date,Open,High,Low,Close,Volume
2025-05-27 00:00:00+00:00,635.41,643.08,632.75,642.32,9508367.0
2025-05-28 00:00:00+00:00,642.6,650.88,642.5472,643.58,9042874.0
2025-05-29 00:00:00+00:00,651.645,653.32,639.5,645.05,8883436.0
2025-05-30 00:00:00+00:00,642.5,649.4099,632.78,647.49,16240951.0
2025-06-02 00:00:00+00:00,644.39,673.26,644.2616,670.9,15766258.0
2025-06-03 00:00:00+00:00,671.445,675.58,665.03,666.85,11585031.0
2025-06-04 00:00:00+00:00,669.32,689.0,668.57,687.95,14031931.0
2025-06-05 00:00:00+00:00,691.66,694.38,682.25,684.62,13120335.0
2025-06-06 00:00:00+00:00,696.17,702.806,691.87,697.71,11727961.0
2025-06-09 00:00:00+00:00,698.46,705.19,693.94,694.06,12773221.0
2025-06-10 00:00:00+00:00,701.345,703.23,691.56,702.4,10850146.0
2025-06-11 00:00:00+00:00,703.705,708.8707,691.99,694.14,9582508.0
2025-06-12 00:00:00+00:00,693.3,695.38,687.0,693.36,7322730.0
2025-06-13 00:00:00+00:00,687.95,694.57,681.01,682.87,9274441.0
2025-06-16 00:00:00+00:00,699.33,707.15,693.5103,702.12,13720288.0
2025-06-17 00:00:00+00:00,702.0,705.97,696.06,697.23,10066110.0
2025-06-18 00:00:00+00:00,698.18,701.59,694.9,695.77,10068255.0
2025-06-20 00:00:00+00:00,700.75,701.8197,678.67,682.35,22538640.0
2025-06-23 00:00:00+00:00,683.69,699.05,678.75,698.53,11080055.0
2025-06-24 00:00:00+00:00,704.885,713.19,702.11,712.2,13823180.0
2025-06-25 00:00:00+00:00,713.315,716.58,705.38,708.68,9320436.0
2025-06-26 00:00:00+00:00,714.355,728.22,711.05,726.09,13964793.0
2025-06-27 00:00:00+00:00,726.515,735.43,725.86,733.63,18775735.0
2025-06-30 00:00:00+00:00,744.55,747.9,734.25,738.09,15402105.0
2025-07-01 00:00:00+00:00,736.875,737.7499,715.37,719.22,13431248.0
2025-07-02 00:00:00+00:00,715.325,720.3,712.8,713.57,9336740.0
2025-07-03 00:00:00+00:00,726.61,729.03,714.42,719.01,8601653.0
2025-07-07 00:00:00+00:00,717.6,727.0,713.51,718.35,9457080.0
2025-07-08 00:00:00+00:00,721.57,722.9099,714.81,720.67,7770693.0
2025-07-09 00:00:00+00:00,722.715,737.53,722.715,732.78,11417963.0
2025-07-10 00:00:00+00:00,731.55,735.7999,719.6,727.24,9922249.0
2025-07-11 00:00:00+00:00,722.495,725.16,709.7,717.51,10873880.0
2025-07-14 00:00:00+00:00,717.6,728.0,716.547,720.92,8939399.0
2025-07-15 00:00:00+00:00,723.9,724.4716,709.82,710.39,11529511.0
2025-07-16 00:00:00+00:00,713.37,713.97,699.2701,702.91,13067627.0
2025-07-17 00:00:00+00:00,704.39,705.9,697.105,701.41,11803264.0
2025-07-18 00:00:00+00:00,702.19,704.71,691.65,704.28,12779752.0
2025-07-21 00:00:00+00:00,706.8,717.0,705.76,712.965,9404391.0
2025-07-22 00:00:00+00:00,716.19,716.6,701.41,704.81,8921064.0
2025-07-23 00:00:00+00:00,706.365,714.6285,704.93,713.58,8771615.0
2025-07-24 00:00:00+00:00,717.05,723.6239,714.0,714.8,10920836.0
2025-07-25 00:00:00+00:00,716.915,720.6499,711.9,712.68,8271698.0
2025-07-28 00:00:00+00:00,715.2,724.7352,712.68,717.63,8715743.0
2025-07-29 00:00:00+00:00,720.0,724.47,699.91,700.0,13267032.0
2025-07-30 00:00:00+00:00,708.09,708.5,691.2001,695.21,27077286.0
2025-07-31 00:00:00+00:00,775.2,784.75,765.51,773.44,38831098.0
2025-08-01 00:00:00+00:00,760.73,765.9999,745.31,750.01,19028710.0
2025-08-04 00:00:00+00:00,760.0,776.85,758.41,776.37,15801727.0
2025-08-05 00:00:00+00:00,776.445,783.1299,763.0,763.46,11640294.0
2025-08-06 00:00:00+00:00,770.0,773.64,760.4601,771.99,9733910.0
2025-08-07 00:00:00+00:00,773.49,775.0,759.55,761.83,9019691.0
2025-08-08 00:00:00+00:00,762.75,769.9,758.58,769.3,7320755.0
2025-08-11 00:00:00+00:00,770.075,773.4584,764.67,765.87,7611964.0
2025-08-12 00:00:00+00:00,773.0,793.67,772.43,790.0,14579765.0
2025-08-13 00:00:00+00:00,791.15,795.4561,778.23,780.08,8811750.0
2025-08-14 00:00:00+00:00,777.88,787.81,772.51,782.13,8116193.0
2025-08-15 00:00:00+00:00,784.15,796.25,780.82,785.23,13375361.0
2025-08-18 00:00:00+00:00,775.085,775.81,756.5601,767.37,16513737.0
2025-08-19 00:00:00+00:00,767.12,767.17,749.36,751.48,12286690.0
2025-08-20 00:00:00+00:00,747.57,750.1999,731.0,747.72,11898190.0
2025-08-21 00:00:00+00:00,744.705,745.5,733.1101,739.1,8876307.0
2025-08-22 00:00:00+00:00,739.23,756.9,734.39,754.79,10612667.0
2025-08-25 00:00:00+00:00,754.82,758.88,750.13,753.3,6861158.0
2025-08-26 00:00:00+00:00,750.8,754.87,747.94,754.1,7601800.0
2025-08-27 00:00:00+00:00,752.3,754.1499,742.84,747.38,8315435.0
2025-08-28 00:00:00+00:00,744.0,753.0548,740.795,751.11,7467955.0
2025-08-29 00:00:00+00:00,745.28,747.14,735.3466,738.7,9070546.0
2025-09-02 00:00:00+00:00,726.04,736.0,721.7306,735.11,9350857.0
2025-09-03 00:00:00+00:00,736.0,740.25,733.9893,737.05,7650495.0
2025-09-04 00:00:00+00:00,748.57,761.16,745.82,748.65,11439078.0
2025-09-05 00:00:00+00:00,752.615,757.95,745.03,752.45,9663441.0
2025-09-08 00:00:00+00:00,755.995,766.51,752.02,752.3,13087816.0
2025-09-09 00:00:00+00:00,757.49,766.3,753.43,765.7,10999026.0
2025-09-10 00:00:00+00:00,765.13,765.7,751.0,751.98,12478276.0
2025-09-11 00:00:00+00:00,754.65,757.1,748.37,750.9,7923284.0
2025-09-12 00:00:00+00:00,748.725,757.5703,743.76,755.59,8248557.0
2025-09-15 00:00:00+00:00,757.47,774.07,751.985,764.7,10533780.0
2025-09-16 00:00:00+00:00,767.0,781.36,765.1,779.0,11782482.0
2025-09-17 00:00:00+00:00,779.99,783.29,766.31,775.715,9400867.0
2025-09-18 00:00:00+00:00,780.75,788.78,773.36,780.25,10954950.0
2025-09-19 00:00:00+00:00,786.42,790.8,769.1901,778.38,23696824.0
2025-09-22 00:00:00+00:00,781.845,785.73,764.47,765.16,11706946.0
2025-09-23 00:00:00+00:00,769.25,770.6,751.07,755.4,10872592.0
2025-09-24 00:00:00+00:00,757.5,761.11,752.5251,760.66,8828227.0
2025-09-25 00:00:00+00:00,753.45,756.765,744.55,748.91,10591065.0
2025-09-26 00:00:00+00:00,750.0,751.9299,737.3532,743.75,9696338.0
2025-09-29 00:00:00+00:00,748.72,750.78,739.15,743.4,9246768.0
2025-09-30 00:00:00+00:00,742.25,742.97,726.3,734.38,16226750.0
2025-10-01 00:00:00+00:00,721.49,721.8499,710.2,717.34,20419633.0
2025-10-02 00:00:00+00:00,722.58,727.77,718.14,727.05,11415271.0
2025-10-03 00:00:00+00:00,729.625,731.0,710.18,710.56,16154305.0
2025-10-06 00:00:00+00:00,705.185,716.88,690.51,715.66,21654738.0
2025-10-07 00:00:00+00:00,717.72,718.4999,705.75,713.08,12062928.0
2025-10-08 00:00:00+00:00,713.45,719.65,707.81,717.84,10790571.0
2025-10-09 00:00:00+00:00,718.275,733.51,712.44,733.51,12717172.0
2025-10-10 00:00:00+00:00,730.92,735.27,704.51,705.3,16980091.0
2025-10-13 00:00:00+00:00,713.01,719.94,707.6413,715.7,9251796.0
2025-10-14 00:00:00+00:00,707.78,715.55,699.33,708.65,8829757.0
2025-10-15 00:00:00+00:00,717.06,723.9,709.51,717.55,10246766.0
2025-10-16 00:00:00+00:00,717.55,725.49,703.88,712.07,9017010.0
2025-10-17 00:00:00+00:00,707.075,718.54,706.12,716.915,12232441.0
2025-10-20 00:00:00+00:00,721.19,733.77,720.18,732.17,8900204.0
2025-10-21 00:00:00+00:00,736.015,738.5,728.75,733.27,7647269.0
2025-10-22 00:00:00+00:00,733.83,740.6,724.03,733.41,8734491.0
2025-10-23 00:00:00+00:00,734.7,742.41,733.1,734.0,9855974.0
2025-10-24 00:00:00+00:00,736.79,741.21,731.15,738.36,9151267.0
2025-10-27 00:00:00+00:00,749.73,755.75,748.01,750.82,11321080.0
2025-10-28 00:00:00+00:00,752.63,758.4,745.5201,751.44,12193818.0
2025-10-29 00:00:00+00:00,754.75,759.155,742.51,751.67,26818592.0
2025-10-30 00:00:00+00:00,669.15,680.9599,650.17,666.47,88440094.0
2025-10-31 00:00:00+00:00,674.51,674.89,645.57,648.35,56953169.0
2025-11-03 00:00:00+00:00,656.0,659.3299,636.18,637.71,33003599.0
2025-11-04 00:00:00+00:00,628.035,641.7399,626.01,627.32,27356553.0
2025-11-05 00:00:00+00:00,632.31,642.23,626.5375,635.95,20082909.0
2025-11-06 00:00:00+00:00,635.85,636.0,618.0,618.94,23628750.0
2025-11-07 00:00:00+00:00,616.485,622.1348,601.2,621.71,29946826.0
2025-11-10 00:00:00+00:00,631.09,635.0,618.105,631.76,19245000.0
