Date,Open,High,Low,Close,Volume
2025-05-27 00:00:00+00:00,134.15,135.66,133.31,135.5,192953613.0
2025-05-28 00:00:00+00:00,136.025,137.25,134.79,134.81,304021146.0
2025-05-29 00:00:00+00:00,142.245,143.49,137.91,139.19,370615167.0
2025-05-30 00:00:00+00:00,138.715,139.62,132.92,135.13,333170851.0
2025-06-02 00:00:00+00:00,135.49,138.12,135.4,137.38,197663116.0
2025-06-03 00:00:00+00:00,138.78,142.0,137.95,141.22,225578783.0
2025-06-04 00:00:00+00:00,142.19,142.39,139.545,141.92,167120819.0
2025-06-05 00:00:00+00:00,142.17,144.0,138.83,139.99,232410759.0
2025-06-06 00:00:00+00:00,142.51,143.27,141.51,141.72,153986153.0
2025-06-09 00:00:00+00:00,143.19,145.0,141.94,142.63,185114494.0
2025-06-10 00:00:00+00:00,142.69,144.29,141.525,143.96,155881897.0
2025-06-11 00:00:00+00:00,144.61,144.99,141.87,142.83,167694044.0
2025-06-12 00:00:00+00:00,141.97,145.0,141.85,145.0,162364991.0
2025-06-13 00:00:00+00:00,142.48,143.58,140.855,141.97,180820565.0
2025-06-16 00:00:00+00:00,143.345,146.175,143.2001,144.69,183133666.0
2025-06-17 00:00:00+00:00,144.49,145.22,143.78,144.12,139108000.0
2025-06-18 00:00:00+00:00,144.005,145.65,143.12,145.48,161494121.0
2025-06-20 00:00:00+00:00,145.45,146.2,142.65,143.85,242956157.0
2025-06-23 00:00:00+00:00,142.5,144.78,142.03,144.17,154308941.0
2025-06-24 00:00:00+00:00,145.56,147.96,145.5,147.9,187566121.0
2025-06-25 00:00:00+00:00,149.27,154.45,149.26,154.31,269146471.0
2025-06-26 00:00:00+00:00,155.975,156.715,154.0,155.02,198145746.0
2025-06-27 00:00:00+00:00,156.04,158.71,155.255,157.75,263234539.0
2025-06-30 00:00:00+00:00,158.4,158.66,155.96,157.99,194580316.0
2025-07-01 00:00:00+00:00,156.29,157.2,151.49,153.3,213143621.0
2025-07-02 00:00:00+00:00,152.98,157.6,152.97,157.25,171224111.0
2025-07-03 00:00:00+00:00,158.37,160.98,157.77,159.34,143716055.0
2025-07-07 00:00:00+00:00,158.2,159.31,157.342,158.24,140138975.0
2025-07-08 00:00:00+00:00,159.33,160.22,158.39,160.0,138133025.0
2025-07-09 00:00:00+00:00,161.22,164.42,161.16,162.88,183656443.0
2025-07-10 00:00:00+00:00,164.32,164.5,161.61,164.1,167704075.0
2025-07-11 00:00:00+00:00,163.715,167.89,163.47,164.92,193633263.0
2025-07-14 00:00:00+00:00,165.37,165.49,162.02,164.07,136975754.0
2025-07-15 00:00:00+00:00,171.19,172.4,169.195,170.7,230627350.0
2025-07-16 00:00:00+00:00,171.06,171.75,168.9,171.37,158831509.0
2025-07-17 00:00:00+00:00,172.02,174.16,170.83,173.0,160841119.0
2025-07-18 00:00:00+00:00,173.64,174.25,171.26,172.41,146456416.0
2025-07-21 00:00:00+00:00,172.75,173.38,171.0,171.38,123126136.0
2025-07-22 00:00:00+00:00,171.34,171.39,164.58,167.03,193114327.0
2025-07-23 00:00:00+00:00,169.53,171.26,167.97,170.78,154082197.0
2025-07-24 00:00:00+00:00,172.44,173.83,171.3,173.74,128984628.0
2025-07-25 00:00:00+00:00,173.61,174.72,172.96,173.5,122316792.0
2025-07-28 00:00:00+00:00,174.02,177.0,173.97,176.75,140023521.0
2025-07-29 00:00:00+00:00,177.96,179.38,175.02,175.51,154077512.0
2025-07-30 00:00:00+00:00,176.51,179.89,176.04,179.27,174312208.0
2025-07-31 00:00:00+00:00,182.9,183.3,175.93,177.87,221685446.0
2025-08-01 00:00:00+00:00,174.09,176.54,170.89,173.72,204528985.0
2025-08-04 00:00:00+00:00,175.16,180.2,174.52,180.0,148174609.0
2025-08-05 00:00:00+00:00,179.62,180.26,175.9,178.26,156407621.0
2025-08-06 00:00:00+00:00,176.325,179.9,176.25,179.42,137192265.0
2025-08-07 00:00:00+00:00,181.57,183.88,178.795,180.77,151878365.0
2025-08-08 00:00:00+00:00,181.55,183.3,180.4,182.7,123396679.0
2025-08-11 00:00:00+00:00,182.05,183.84,180.25,182.06,138323191.0
2025-08-12 00:00:00+00:00,182.96,184.48,179.46,183.16,145729202.0
2025-08-13 00:00:00+00:00,182.615,183.97,179.35,181.59,179871724.0
2025-08-14 00:00:00+00:00,179.75,183.02,179.46,182.02,129553959.0
2025-08-15 00:00:00+00:00,181.88,181.9,178.0417,180.45,156602161.0
2025-08-18 00:00:00+00:00,180.6,182.9375,180.59,182.01,132007959.0
2025-08-19 00:00:00+00:00,182.43,182.5,175.49,175.64,185229219.0
2025-08-20 00:00:00+00:00,175.165,176.0,168.801,175.4,215142725.0
2025-08-21 00:00:00+00:00,174.85,176.9,173.81,174.98,140040850.0
2025-08-22 00:00:00+00:00,172.61,178.59,171.2,177.99,172789427.0
2025-08-25 00:00:00+00:00,178.35,181.91,176.57,179.81,163012789.0
2025-08-26 00:00:00+00:00,180.055,182.39,178.81,181.77,168688186.0
2025-08-27 00:00:00+00:00,181.98,182.49,179.1,181.6,235518949.0
2025-08-28 00:00:00+00:00,180.82,184.47,176.41,180.17,281787824.0
2025-08-29 00:00:00+00:00,178.11,178.15,173.145,174.18,243257873.0
2025-09-02 00:00:00+00:00,170.0,172.379,167.22,170.78,231164853.0
2025-09-03 00:00:00+00:00,171.06,172.41,168.875,170.62,161466040.0
2025-09-04 00:00:00+00:00,170.57,171.86,169.41,171.66,141670144.0
2025-09-05 00:00:00+00:00,168.03,169.03,164.07,167.02,224441435.0
2025-09-08 00:00:00+00:00,167.55,170.96,167.35,168.31,163769133.0
2025-09-09 00:00:00+00:00,169.09,170.98,166.7401,170.76,157548392.0
2025-09-10 00:00:00+00:00,176.64,179.29,175.47,177.33,226852020.0
2025-09-11 00:00:00+00:00,179.68,180.28,176.48,177.17,151159274.0
2025-09-12 00:00:00+00:00,177.77,178.595,176.45,177.82,124911026.0
2025-09-15 00:00:00+00:00,175.67,178.85,174.51,177.75,147061559.0
2025-09-16 00:00:00+00:00,177.0,177.5,174.38,174.88,140737775.0
2025-09-17 00:00:00+00:00,172.64,173.2,168.41,170.29,211843817.0
2025-09-18 00:00:00+00:00,173.98,177.1,172.96,176.24,191763313.0
2025-09-19 00:00:00+00:00,175.77,178.08,175.18,176.67,237182143.0
2025-09-22 00:00:00+00:00,175.3,184.55,174.7053,183.61,269637001.0
2025-09-23 00:00:00+00:00,181.97,182.42,176.21,178.43,192559552.0
2025-09-24 00:00:00+00:00,179.77,179.78,175.4,176.97,143564116.0
2025-09-25 00:00:00+00:00,174.48,180.26,173.125,177.69,191586733.0
2025-09-26 00:00:00+00:00,178.17,179.77,174.93,178.19,148573732.0
2025-09-29 00:00:00+00:00,180.425,184.0,180.32,181.85,193063455.0
2025-09-30 00:00:00+00:00,182.08,187.35,181.48,186.58,236981032.0
2025-10-01 00:00:00+00:00,185.24,188.14,183.9,187.24,173844901.0
2025-10-02 00:00:00+00:00,189.6,191.05,188.06,188.89,136805821.0
2025-10-03 00:00:00+00:00,189.19,190.36,185.38,187.62,137596896.0
2025-10-06 00:00:00+00:00,185.5,187.23,183.33,185.54,157678104.0
2025-10-07 00:00:00+00:00,186.23,189.06,184.0,185.04,140088008.0
2025-10-08 00:00:00+00:00,186.57,189.6,186.54,189.11,130168861.0
2025-10-09 00:00:00+00:00,192.225,195.3,191.06,192.57,182997234.0
2025-10-10 00:00:00+00:00,193.505,195.62,182.05,183.16,268774359.0
2025-10-13 00:00:00+00:00,187.965,190.1099,185.96,188.32,153482755.0
2025-10-14 00:00:00+00:00,184.77,184.8,179.7,180.03,205641380.0
2025-10-15 00:00:00+00:00,184.8,184.87,177.29,179.83,214450482.0
2025-10-16 00:00:00+00:00,182.23,183.28,179.77,181.81,179723309.0
2025-10-17 00:00:00+00:00,180.18,184.1,179.75,183.22,173135217.0
2025-10-20 00:00:00+00:00,183.13,185.2,181.73,182.64,128544711.0
2025-10-21 00:00:00+00:00,182.785,182.785,179.8,181.16,124240168.0
2025-10-22 00:00:00+00:00,181.14,183.44,176.76,180.28,162249552.0
2025-10-23 00:00:00+00:00,180.42,183.03,179.7901,182.16,111363718.0
2025-10-24 00:00:00+00:00,183.835,187.47,183.5,186.26,131296677.0
2025-10-27 00:00:00+00:00,189.99,192.0,188.4318,191.49,153452704.0
2025-10-28 00:00:00+00:00,193.05,203.15,191.91,201.03,297986180.0
2025-10-29 00:00:00+00:00,207.98,212.1899,204.775,207.04,308829564.0
2025-10-30 00:00:00+00:00,205.15,206.16,201.41,202.89,178864443.0
2025-10-31 00:00:00+00:00,206.45,207.97,202.07,202.49,179802178.0
2025-11-03 00:00:00+00:00,208.08,211.335,205.56,206.88,180267285.0
2025-11-04 00:00:00+00:00,203.0,203.9699,197.93,198.69,188919320.0
2025-11-05 00:00:00+00:00,198.77,202.92,194.65,195.21,166849081.0
2025-11-06 00:00:00+00:00,196.42,197.62,186.38,188.08,223029778.0
2025-11-07 00:00:00+00:00,184.9,188.32,178.91,188.15,264942255.0
2025-11-10 00:00:00+00:00,195.11,199.94,193.79,199.05,198897134.0
2025-11-11 00:00:00+00:00,195.155,195.42,191.3,193.16,176483327.0
2025-11-12 00:00:00+00:00,195.72,195.89,191.13,193.8,154935263.0
2025-11-13 00:00:00+00:00,191.05,191.44,183.85,186.86,207423074.0
2025-11-14 00:00:00+00:00,182.86,191.01,180.58,190.17,186591856.0
2025-11-17 00:00:00+00:00,185.965,189.0,184.32,186.6,173628858.0
2025-11-18 00:00:00+00:00,183.375,184.8,179.65,181.36,213598877.0
2025-11-19 00:00:00+00:00,184.79,187.855,182.8301,186.52,247246436.0
2025-11-20 00:00:00+00:00,195.95,196.0,179.85,180.64,343504849.0
2025-11-21 00:00:00+00:00,181.235,184.56,172.93,178.88,346926153.0
