Date,Open,High,Low,Close,Volume
2025-05-27 00:00:00+00:00,516.15,521.71,514.59,521.22,47226323.0
2025-05-28 00:00:00+00:00,522.18,523.68,518.39,518.91,46637175.0
2025-05-29 00:00:00+00:00,526.33,526.48,517.32,519.93,58724069.0
2025-05-30 00:00:00+00:00,519.44,520.68,511.93,519.11,67662836.0
2025-06-02 00:00:00+00:00,517.24,523.45,515.97,523.21,44762817.0
2025-06-03 00:00:00+00:00,523.56,528.74,522.69,527.3,44070330.0
2025-06-04 00:00:00+00:00,528.01,529.84,525.9694,528.77,41359322.0
2025-06-05 00:00:00+00:00,530.18,533.05,522.66,524.79,61286623.0
2025-06-06 00:00:00+00:00,530.0,531.8,528.21,529.92,42467021.0
2025-06-09 00:00:00+00:00,530.14,532.35,529.01,530.7,33688671.0
2025-06-10 00:00:00+00:00,531.17,534.9,528.89,534.21,40664795.0
2025-06-11 00:00:00+00:00,535.62,536.78,530.11,532.41,53701033.0
2025-06-12 00:00:00+00:00,531.09,534.6438,530.84,533.66,34104887.0
2025-06-13 00:00:00+00:00,527.68,531.87,525.73,526.96,55814443.0
2025-06-16 00:00:00+00:00,530.5,535.37,530.45,534.29,37622051.0
2025-06-17 00:00:00+00:00,531.71,533.325,527.91,529.08,42180866.0
2025-06-18 00:00:00+00:00,530.1,532.55,527.4,528.99,43983522.0
2025-06-20 00:00:00+00:00,532.26,533.56,524.88,526.83,61643519.0
2025-06-23 00:00:00+00:00,526.81,532.17,523.65,531.65,50666146.0
2025-06-24 00:00:00+00:00,536.89,540.7,536.27,539.78,45441982.0
2025-06-25 00:00:00+00:00,542.06,543.31,539.38,541.16,44804168.0
2025-06-26 00:00:00+00:00,543.35,546.67,541.52,546.22,43811432.0
2025-06-27 00:00:00+00:00,547.26,549.99,544.545,548.09,57577147.0
2025-06-30 00:00:00+00:00,551.26,552.8,549.01,551.64,45548742.0
2025-07-01 00:00:00+00:00,549.73,550.71,544.66,546.99,56166736.0
2025-07-02 00:00:00+00:00,546.16,551.0,546.12,550.8,36538281.0
2025-07-03 00:00:00+00:00,553.18,557.2,553.18,556.22,26443524.0
2025-07-07 00:00:00+00:00,553.52,554.34,549.58,552.03,45349323.0
2025-07-08 00:00:00+00:00,553.38,554.01,551.1,552.34,36153258.0
2025-07-09 00:00:00+00:00,554.48,557.63,553.1,556.25,43045534.0
2025-07-10 00:00:00+00:00,556.89,557.3,552.75,555.45,34710913.0
2025-07-11 00:00:00+00:00,553.3,555.79,552.05,554.2,39618635.0
2025-07-14 00:00:00+00:00,553.99,556.945,551.63,556.21,36453314.0
2025-07-15 00:00:00+00:00,560.25,560.8,556.66,556.72,43277661.0
2025-07-16 00:00:00+00:00,557.28,560.21,551.56,557.29,52314711.0
2025-07-17 00:00:00+00:00,558.02,562.31,557.21,561.8,40423778.0
2025-07-18 00:00:00+00:00,563.12,564.7262,559.98,561.26,50484704.0
2025-07-21 00:00:00+00:00,562.09,566.06,562.06,564.17,39595214.0
2025-07-22 00:00:00+00:00,564.3,564.35,558.61,561.25,43270647.0
2025-07-23 00:00:00+00:00,562.34,563.85,559.58,563.81,40215259.0
2025-07-24 00:00:00+00:00,565.13,566.24,563.295,565.01,42275541.0
2025-07-25 00:00:00+00:00,564.93,567.695,564.27,566.37,30630813.0
2025-07-28 00:00:00+00:00,567.74,569.04,566.87,568.14,31498739.0
2025-07-29 00:00:00+00:00,570.76,572.11,566.53,567.26,45463317.0
2025-07-30 00:00:00+00:00,568.18,570.62,565.05,568.02,43433777.0
2025-07-31 00:00:00+00:00,574.54,574.63,563.87,565.01,64613590.0
2025-08-01 00:00:00+00:00,558.83,559.02,551.68,553.88,69400789.0
2025-08-04 00:00:00+00:00,559.05,564.315,558.95,564.1,47669751.0
2025-08-05 00:00:00+00:00,565.39,566.5607,559.73,560.27,48666640.0
2025-08-06 00:00:00+00:00,561.11,567.76,560.63,567.32,41823677.0
2025-08-07 00:00:00+00:00,571.67,573.32,565.11,569.24,44462972.0
2025-08-08 00:00:00+00:00,570.45,574.77,570.15,574.55,35255472.0
2025-08-11 00:00:00+00:00,574.69,576.8,571.57,572.85,33112917.0
