DATE_,ADJ CLOSE_8035.T,CLOSE_8035.T,HIGH_8035.T,LOW_8035.T,OPEN_8035.T,VOLUME_8035.T
2025-03-03,21832.3671875,22380.0,22515.0,22075.0,22465.0,2698700
2025-03-04,21900.654296875,22450.0,22565.0,21605.0,21730.0,3782000
2025-03-05,21495.80859375,22035.0,22640.0,22035.0,22440.0,3107200
2025-03-06,21247.048828125,21780.0,22310.0,21550.0,22190.0,3485300
2025-03-07,20598.322265625,21115.0,21265.0,20985.0,21140.0,4349600
2025-03-10,20949.513671875,21475.0,21680.0,21000.0,21000.0,2848500
2025-03-11,20847.080078125,21370.0,21370.0,20635.0,21005.0,3772400
2025-03-12,20812.9375,21335.0,21535.0,21130.0,21250.0,2519400
2025-03-13,20798.3046875,21320.0,21835.0,21290.0,21695.0,3219800
2025-03-14,20954.390625,21480.0,21555.0,20965.0,21015.0,3667800
2025-03-17,21417.765625,21955.0,22220.0,21760.0,21850.0,2734800
2025-03-18,21783.591796875,22330.0,22460.0,22170.0,22410.0,2372800
2025-03-19,21656.771484375,22200.0,22665.0,22200.0,22290.0,2852100
2025-03-21,21817.734375,22365.0,22600.0,22070.0,22070.0,2918400
2025-03-24,21647.015625,22190.0,22390.0,22150.0,22390.0,1957300
2025-03-25,21764.080078125,22310.0,23010.0,22250.0,22770.0,2724200
2025-03-26,22115.271484375,22670.0,22875.0,22500.0,22810.0,2932600
2025-03-27,21744.5703125,22290.0,22590.0,22170.0,22410.0,3317100
2025-03-28,21310.92578125,21525.0,21840.0,21285.0,21810.0,3180400
2025-03-31,19909.998046875,20110.0,20650.0,20100.0,20560.0,4453200
2025-04-01,20048.60546875,20250.0,20440.0,19950.0,20190.0,3003700
2025-04-02,20434.7265625,20640.0,20850.0,20315.0,20350.0,3538400
2025-04-03,19682.28515625,19880.0,19930.0,19170.0,19240.0,4719000
2025-04-04,18771.435546875,18960.0,19700.0,18600.0,19540.0,5626300
2025-04-07,16890.33203125,17060.0,17650.0,16560.0,16560.0,6089700
2025-04-08,18365.513671875,18550.0,18865.0,17680.0,17720.0,4906100
2025-04-09,17246.751953125,17420.0,17950.0,17110.0,17800.0,5792400
2025-04-10,19469.423828125,19665.0,20250.0,19310.0,20220.0,5516600
2025-04-11,19444.671875,19640.0,19765.0,18415.0,18590.0,5253900
2025-04-14,19707.037109375,19905.0,20660.0,19710.0,20240.0,4692600
2025-04-15,19791.19140625,19990.0,20220.0,19930.0,20000.0,2442700
2025-04-16,19494.17578125,19690.0,20000.0,19425.0,19890.0,4413600
2025-04-17,19612.982421875,19810.0,19915.0,19190.0,19710.0,4333100
2025-04-18,19320.916015625,19515.0,19745.0,19310.0,19600.0,2346100
2025-04-21,19236.76171875,19430.0,19640.0,19250.0,19370.0,2012600
2025-04-22,18989.248046875,19180.0,19485.0,19090.0,19340.0,2530000
2025-04-23,19454.572265625,19650.0,19985.0,19470.0,19960.0,3203700
2025-04-24,20182.263671875,20385.0,20555.0,20115.0,20185.0,4566300
2025-04-25,21038.66015625,21250.0,21365.0,20815.0,21245.0,4594400
2025-04-28,20989.158203125,21200.0,21645.0,21110.0,21630.0,2978200
2025-04-30,21013.908203125,21225.0,21230.0,20785.0,21000.0,3439300
2025-05-01,20999.05859375,21210.0,21565.0,20570.0,21530.0,7217400
2025-05-02,20929.75390625,21140.0,21885.0,20990.0,21700.0,5778700
2025-05-07,21687.146484375,21905.0,21940.0,21310.0,21555.0,4935300
2025-05-08,22132.669921875,22355.0,22570.0,21995.0,22295.0,4223200
2025-05-09,22330.681640625,22555.0,22750.0,22155.0,22725.0,4368300
2025-05-12,22662.349609375,22890.0,23060.0,22550.0,22820.0,3911700
2025-05-13,23761.310546875,24000.0,24255.0,23615.0,24000.0,5801500
2025-05-14,23984.072265625,24225.0,24560.0,23815.0,24460.0,4211200
2025-05-15,23890.017578125,24130.0,24220.0,23805.0,23955.0,2985800
2025-05-16,23231.630859375,23465.0,23895.0,23320.0,23810.0,2996000
2025-05-19,22835.609375,23065.0,23310.0,22950.0,23060.0,2521700
2025-05-20,23112.82421875,23345.0,23625.0,23140.0,23145.0,2833100
2025-05-21,23013.8203125,23245.0,23450.0,23155.0,23250.0,2268200
2025-05-22,22454.439453125,22680.0,22830.0,22375.0,22770.0,3875100
2025-05-23,22528.693359375,22755.0,23005.0,22705.0,23000.0,2248800
2025-05-26,23122.724609375,23355.0,23545.0,22805.0,22810.0,2656100
2025-05-27,22964.31640625,23195.0,23350.0,22950.0,23350.0,2313000
2025-05-28,22934.615234375,23165.0,23760.0,23145.0,23640.0,2748900
2025-05-29,23909.818359375,24150.0,24150.0,23615.0,24030.0,4082400
2025-05-30,22771.255859375,23000.0,23680.0,23000.0,23500.0,6223100
2025-06-02,22380.18359375,22605.0,23050.0,22515.0,23020.0,2743000
2025-06-03,22177.22265625,22400.0,22875.0,22400.0,22700.0,2663500
2025-06-04,22276.228515625,22500.0,22820.0,22465.0,22735.0,2468000
2025-06-05,23117.775390625,23350.0,23420.0,22540.0,22600.0,4132700
2025-06-06,23414.791015625,23650.0,23725.0,23410.0,23600.0,2851000
2025-06-09,23617.751953125,23855.0,24125.0,23720.0,24120.0,3145200
2025-06-10,23503.896484375,23740.0,24210.0,23650.0,24000.0,3804300
2025-06-11,24632.55859375,24880.0,24880.0,24100.0,24220.0,4463900
2025-06-12,24751.365234375,25000.0,25050.0,24595.0,24685.0,3615100
2025-06-13,23563.298828125,23800.0,24285.0,23450.0,24180.0,7422300
2025-06-16,23776.162109375,24015.0,24055.0,23740.0,23825.0,2996700
2025-06-17,24474.150390625,24720.0,24980.0,24305.0,24465.0,4133800
