DATE_,ADJ CLOSE_6861.T,CLOSE_6861.T,HIGH_6861.T,LOW_6861.T,OPEN_6861.T,VOLUME_6861.T
2025-03-03,59933.46875,60400.0,60530.0,59340.0,60030.0,649900
2025-03-04,60389.91796875,60860.0,61040.0,59780.0,60010.0,696000
2025-03-05,61620.33984375,62100.0,62150.0,61040.0,61060.0,612700
2025-03-06,60637.984375,61110.0,62360.0,61010.0,61790.0,723600
2025-03-07,59854.0859375,60320.0,60320.0,59470.0,59500.0,842000
2025-03-10,60389.91796875,60860.0,61160.0,59880.0,60300.0,418800
2025-03-11,60171.61328125,60640.0,60750.0,59150.0,60450.0,625600
2025-03-12,60112.078125,60580.0,61270.0,60580.0,61180.0,406000
2025-03-13,59665.5546875,60130.0,61480.0,60130.0,61150.0,605200
2025-03-14,60925.74609375,61400.0,61440.0,60120.0,60200.0,660100
2025-03-17,60598.29296875,61070.0,61750.0,61070.0,61620.0,455000
2025-03-18,60782.390625,61080.0,61980.0,61080.0,61900.0,473300
2025-03-19,60633.12109375,60930.0,61470.0,60560.0,60560.0,400100
2025-03-21,61001.3203125,61300.0,61550.0,60720.0,61290.0,701900
2025-03-24,60842.09765625,61140.0,62160.0,61070.0,61670.0,437300
2025-03-25,60802.29296875,61100.0,62200.0,60960.0,62000.0,473500
2025-03-26,61140.63671875,61440.0,61630.0,60960.0,61100.0,500500
2025-03-27,61528.73828125,61830.0,61830.0,60750.0,61140.0,643100
2025-03-28,59916.62890625,60210.0,61380.0,59750.0,61000.0,699400
2025-03-31,58195.05859375,58480.0,59400.0,58480.0,58900.0,706000
2025-04-01,57597.984375,57880.0,59290.0,57800.0,59260.0,671400
2025-04-02,57538.27734375,57820.0,58040.0,57380.0,57800.0,593400
2025-04-03,55309.19140625,55580.0,57020.0,54720.0,54820.0,815900
2025-04-04,54423.52734375,54690.0,54950.0,53720.0,54000.0,1177500
2025-04-07,50343.50390625,50590.0,51750.0,49780.0,49910.0,1291800
2025-04-08,53368.69140625,53630.0,54680.0,52920.0,53160.0,941400
2025-04-09,52075.0234375,52330.0,53620.0,51660.0,52930.0,811600
2025-04-10,58115.44921875,58400.0,59120.0,57600.0,59000.0,1063300
