DATE_,ADJ CLOSE_6758.T,CLOSE_6758.T,HIGH_6758.T,LOW_6758.T,OPEN_6758.T,VOLUME_6758.T
2025-03-03,3692.445068359375,3713.0,3767.0,3675.0,3740.0,14676400
2025-03-04,3607.91552734375,3628.0,3689.0,3589.0,3676.0,13233500
2025-03-05,3563.164794921875,3583.0,3645.0,3574.0,3592.0,15352600
2025-03-06,3706.367431640625,3727.0,3756.0,3575.0,3575.0,15885600
2025-03-07,3549.2421875,3569.0,3584.0,3502.0,3517.0,22133200
2025-03-10,3438.856689453125,3458.0,3546.0,3455.0,3526.0,15915300
2025-03-11,3370.23876953125,3389.0,3407.0,3297.0,3310.0,21476800
2025-03-12,3491.563232421875,3511.0,3564.0,3426.0,3429.0,20545800
2025-03-13,3469.68505859375,3489.0,3582.0,3484.0,3559.0,14738300
2025-03-14,3498.5244140625,3518.0,3562.0,3461.0,3482.0,16920900
2025-03-17,3569.131591796875,3589.0,3619.0,3575.0,3598.0,12693700
2025-03-18,3630.788330078125,3651.0,3668.0,3611.0,3621.0,13903700
2025-03-19,3661.61669921875,3682.0,3726.0,3672.0,3701.0,13321600
2025-03-21,3761.063232421875,3782.0,3796.0,3706.0,3714.0,28201000
2025-03-24,3743.16259765625,3764.0,3796.0,3743.0,3794.0,14458000
2025-03-25,3745.151611328125,3766.0,3855.0,3749.0,3822.0,12072800
2025-03-26,3830.67578125,3852.0,3894.0,3823.0,3849.0,16688400
2025-03-27,3840.620361328125,3862.0,3862.0,3770.0,3786.0,18277100
2025-03-28,3819.682373046875,3831.0,3862.0,3801.0,3853.0,17476500
2025-03-31,3753.877197265625,3765.0,3830.0,3726.0,3763.0,23654600
2025-04-01,3753.877197265625,3765.0,3860.0,3743.0,3807.0,19316100
2025-04-02,3679.098876953125,3690.0,3756.0,3663.0,3743.0,14792800
2025-04-03,3501.624755859375,3512.0,3567.0,3436.0,3459.0,21280000
2025-04-04,3335.1181640625,3345.0,3395.0,3270.0,3337.0,23467600
2025-04-07,3000.110595703125,3009.0,3117.0,2980.5,3000.0,35714100
2025-04-08,3208.4931640625,3218.0,3279.0,3079.0,3079.0,27154200
2025-04-09,3097.821044921875,3107.0,3160.0,3039.0,3127.0,21131600
2025-04-10,3516.580322265625,3527.0,3567.0,3463.0,3530.0,25181100
2025-04-11,3256.351318359375,3266.0,3289.0,3163.0,3222.0,35012400
2025-04-14,3284.268798828125,3294.0,3350.0,3287.0,3300.0,12989900
2025-04-15,3356.055908203125,3366.0,3433.0,3358.0,3409.0,14306700
2025-04-16,3330.1328125,3340.0,3397.0,3291.0,3377.0,12004600
2025-04-17,3427.84326171875,3438.0,3438.0,3318.0,3327.0,9653700
2025-04-18,3455.760498046875,3466.0,3483.0,3407.0,3461.0,6973300
2025-04-21,3367.0234375,3377.0,3438.0,3370.0,3401.0,6922400
2025-04-22,3337.112060546875,3347.0,3373.0,3328.0,3352.0,8698400
2025-04-23,3526.55078125,3537.0,3540.0,3443.0,3508.0,15675800
2025-04-24,3517.577392578125,3528.0,3614.0,3513.0,3614.0,13065400
2025-04-25,3524.556640625,3535.0,3586.0,3526.0,3575.0,11031400
2025-04-28,3509.60107421875,3520.0,3564.0,3500.0,3560.0,10799600
2025-04-30,3759.859619140625,3771.0,3777.0,3684.0,3730.0,29765600
2025-05-01,3652.1787109375,3663.0,3756.0,3643.0,3721.0,17304200
2025-05-02,3720.974853515625,3732.0,3756.0,3631.0,3639.0,14797500
2025-05-07,3570.4208984375,3581.0,3624.0,3546.0,3621.0,27294900
2025-05-08,3489.66015625,3500.0,3508.0,3456.0,3500.0,17831100
2025-05-09,3572.4150390625,3583.0,3592.0,3507.0,3555.0,15779400
2025-05-12,3581.388427734375,3592.0,3630.0,3572.0,3630.0,11169300
2025-05-13,3643.205078125,3654.0,3678.0,3618.0,3640.0,14102200
2025-05-14,3776.809326171875,3788.0,3817.0,3510.0,3566.0,35646400
2025-05-15,3671.12255859375,3682.0,3723.0,3571.0,3598.0,24995200
2025-05-16,3592.35595703125,3603.0,3686.0,3558.0,3680.0,18261200
2025-05-19,3599.335205078125,3610.0,3616.0,3560.0,3598.0,10826500
2025-05-20,3765.841796875,3777.0,3783.0,3640.0,3650.0,22432600
2025-05-21,3660.155029296875,3671.0,3730.0,3653.0,3706.0,14183500
2025-05-22,3643.205078125,3654.0,3689.0,3625.0,3650.0,11799400
2025-05-23,3672.11962890625,3683.0,3718.0,3661.0,3667.0,9152500
2025-05-26,3728.951171875,3740.0,3750.0,3672.0,3700.0,7470400
2025-05-27,3797.747314453125,3809.0,3819.0,3723.0,3740.0,9078700
2025-05-28,3809.7119140625,3821.0,3899.0,3821.0,3879.0,18070600
2025-05-29,3958.271728515625,3970.0,4035.0,3862.0,3880.0,23751400
2025-05-30,3798.744384765625,3810.0,3907.0,3810.0,3845.0,32835100
2025-06-02,3790.76806640625,3802.0,3838.0,3770.0,3810.0,14485400
2025-06-03,3822.67333984375,3834.0,3921.0,3832.0,3858.0,13423700
2025-06-04,3837.629150390625,3849.0,3880.0,3843.0,3850.0,12843900
2025-06-05,3778.803466796875,3790.0,3817.0,3748.0,3815.0,15029600
2025-06-06,3821.67626953125,3833.0,3843.0,3755.0,3760.0,10347200
2025-06-09,3821.67626953125,3833.0,3915.0,3833.0,3899.0,8345800
2025-06-10,3788.77392578125,3800.0,3884.0,3785.0,3875.0,10942900
2025-06-11,3735.930419921875,3747.0,3827.0,3733.0,3816.0,9943000
2025-06-12,3762.8505859375,3774.0,3809.0,3750.0,3794.0,10155600
2025-06-13,3723.9658203125,3735.0,3749.0,3658.0,3743.0,14902000
2025-06-16,3724.962890625,3736.0,3771.0,3698.0,3740.0,9303900
2025-06-17,3739.918701171875,3751.0,3761.0,3705.0,3742.0,10161800
2025-06-18,3771.823974609375,3783.0,3810.0,3693.0,3704.0,12904000
2025-06-19,3679.098876953125,3690.0,3747.0,3671.0,3740.0,12856400
2025-06-20,3596.343994140625,3607.0,3697.0,3607.0,3689.0,25003800
2025-06-23,3519.571533203125,3530.0,3585.0,3494.0,3579.0,19880500
2025-06-24,3573.412109375,3584.0,3672.0,3580.0,3669.0,11306900
2025-06-25,3618.279052734375,3629.0,3631.0,3595.0,3619.0,10768300
2025-06-26,3662.149169921875,3673.0,3675.0,3626.0,3647.0,12238700
2025-06-27,3778.803466796875,3790.0,3806.0,3726.0,3730.0,17659200
2025-06-30,3718.980712890625,3730.0,3829.0,3728.0,3806.0,15477800
2025-07-01,3629.24658203125,3640.0,3735.0,3635.0,3730.0,13500100
2025-07-02,3665.14013671875,3676.0,3692.0,3641.0,3648.0,14327100
2025-07-03,3646.1962890625,3657.0,3676.0,3613.0,3666.0,11266300
2025-07-04,3677.104736328125,3688.0,3717.0,3667.0,3705.0,7796500
2025-07-07,3672.11962890625,3683.0,3702.0,3648.0,3669.0,7879600
2025-07-08,3660.155029296875,3671.0,3705.0,3655.0,3656.0,14722500
2025-07-09,3660.155029296875,3671.0,3749.0,3637.0,3749.0,10025000
2025-07-10,3596.343994140625,3607.0,3639.0,3557.0,3636.0,18484100
2025-07-11,3589.36474609375,3600.0,3655.0,3572.0,3655.0,12368000
2025-07-14,3578.397216796875,3589.0,3603.0,3543.0,3548.0,6488700
2025-07-15,3555.465087890625,3566.0,3620.0,3547.0,3615.0,8062100
2025-07-16,3529.5419921875,3540.0,3570.0,3514.0,3566.0,12242100
2025-07-17,3622.267333984375,3633.0,3645.0,3562.0,3598.0,9757300
2025-07-18,3554.468017578125,3565.0,3618.0,3551.0,3615.0,9130700
2025-07-22,3528.544921875,3539.0,3656.0,3536.0,3609.0,11235300
2025-07-23,3681.093017578125,3692.0,3733.0,3609.0,3638.0,20639900
2025-07-24,3775.812255859375,3787.0,3820.0,3753.0,3784.0,16384400
2025-07-25,3695.051513671875,3706.0,3766.0,3697.0,3731.0,9921000
2025-07-28,3627.25244140625,3638.0,3728.0,3638.0,3714.0,9954400
2025-07-29,3594.349853515625,3605.0,3621.0,3581.0,3618.0,8436100
2025-07-30,3631.24072265625,3642.0,3642.0,3559.0,3575.0,10099200
2025-07-31,3671.12255859375,3682.0,3703.0,3628.0,3630.0,12172600
2025-08-01,3669.12841796875,3680.0,3720.0,3646.0,3682.0,12274300
2025-08-04,3606.314453125,3617.0,3630.0,3551.0,3552.0,9324000
2025-08-05,3617.281982421875,3628.0,3680.0,3621.0,3634.0,9201200
2025-08-06,3696.048583984375,3707.0,3718.0,3610.0,3624.0,11220300
2025-08-07,3848.5966796875,3860.0,3987.0,3594.0,3667.0,33559300
2025-08-08,3983.19775390625,3995.0,4105.0,3962.0,4000.0,34056600
2025-08-12,3980.20654296875,3992.0,4064.0,3986.0,4028.0,21378800
2025-08-13,4117.798828125,4130.0,4198.0,4050.0,4057.0,19538500
2025-08-14,4057.976318359375,4070.0,4130.0,4037.0,4104.0,14848500
2025-08-15,4279.3203125,4292.0,4298.0,4104.0,4128.0,17329500
2025-08-18,4170.642578125,4183.0,4247.0,4177.0,4222.0,16463300
2025-08-19,4155.6865234375,4168.0,4208.0,4155.0,4177.0,9659400
2025-08-20,4115.8046875,4128.0,4184.0,4125.0,4157.0,10492100
2025-08-21,4081.9052734375,4094.0,4150.0,4093.0,4136.0,9124100
2025-08-22,4208.5302734375,4221.0,4233.0,4125.0,4130.0,11847200
2025-08-25,4161.6689453125,4174.0,4249.0,4168.0,4249.0,8081900
2025-08-26,4083.8994140625,4096.0,4156.0,4086.0,4148.0,13435900
2025-08-27,4084.896484375,4097.0,4116.0,4061.0,4076.0,8899900
2025-08-28,4130.7607421875,4143.0,4147.0,4061.0,4069.0,13136800
2025-08-29,4070.937744140625,4083.0,4115.0,4061.0,4103.0,11325300
2025-09-01,4009.12109375,4021.0,4092.0,4001.0,4060.0,7676500
2025-09-02,4002.1416015625,4014.0,4052.0,3980.0,4026.0,8262500
2025-09-03,3978.212646484375,3990.0,4075.0,3974.0,4010.0,10706000
2025-09-04,4092.872802734375,4105.0,4130.0,4036.0,4060.0,10152900
2025-09-05,4079.9111328125,4092.0,4142.0,4031.0,4120.0,11283900
2025-09-08,4171.6396484375,4184.0,4255.0,4132.0,4157.0,12784700
2025-09-09,4204.5419921875,4217.0,4279.0,4201.0,4254.0,11371800
2025-09-10,4263.36767578125,4276.0,4315.0,4204.0,4215.0,11069400
2025-09-11,4242.4296875,4255.0,4269.0,4198.0,4210.0,10522700
2025-09-12,4273.337890625,4286.0,4383.0,4258.0,4382.0,15107400
2025-09-16,4208.5302734375,4221.0,4292.0,4210.0,4286.0,15476700
2025-09-17,4254.39404296875,4267.0,4314.0,4203.0,4234.0,11898000
2025-09-18,4419.90380859375,4433.0,4450.0,4253.0,4300.0,16890600
2025-09-19,4308.23486328125,4321.0,4477.0,4291.0,4446.0,22209700
2025-09-22,4204.33349609375,4216.791015625,4297.47705078125,4194.69873046875,4200.4619140625,12998042
2025-09-24,4139.20947265625,4151.47412109375,4163.9609375,4048.69580078125,4082.31494140625,20918860
2025-09-25,4271.373046875,4284.029296875,4397.37353515625,4185.09326171875,4217.75146484375,21348824
2025-09-26,4218.69921875,4231.19921875,4360.87255859375,4211.98828125,4350.306640625,22943128
2025-09-29,4268.0,4268.0,4346.0,4213.0,4230.0,19566400
2025-09-30,4259.0,4259.0,4334.0,4208.0,4300.0,16105800
2025-10-01,4215.0,4215.0,4330.0,4182.0,4329.0,14775100
2025-10-02,4112.0,4112.0,4229.0,4087.0,4205.0,15185300
2025-10-03,4206.0,4206.0,4244.0,4140.0,4158.0,9277300
2025-10-06,4492.0,4492.0,4492.0,4354.0,4447.0,21132700
2025-10-07,4497.0,4497.0,4530.0,4458.0,4506.0,14524300
2025-10-08,4545.0,4545.0,4640.0,4518.0,4550.0,15576000
2025-10-09,4648.0,4648.0,4648.0,4572.0,4611.0,13895100
2025-10-10,4461.0,4461.0,4630.0,4444.0,4600.0,19035600
2025-10-14,4310.0,4310.0,4417.0,4272.0,4397.0,19053400
2025-10-15,4342.0,4342.0,4357.0,4312.0,4339.0,11537300
2025-10-16,4321.0,4321.0,4384.0,4293.0,4377.0,10508900
2025-10-17,4300.0,4300.0,4379.0,4283.0,4301.0,11461600
2025-10-20,4420.0,4420.0,4423.0,4319.0,4354.0,9863400
2025-10-21,4418.0,4418.0,4436.0,4375.0,4400.0,11129800
2025-10-22,4400.0,4400.0,4447.0,4383.0,4405.0,8117500
2025-10-23,4389.0,4389.0,4401.0,4330.0,4356.0,10770500
2025-10-24,4377.0,4377.0,4412.0,4343.0,4389.0,7675900
2025-10-27,4402.0,4402.0,4458.0,4396.0,4424.0,10964500
2025-10-28,4375.0,4375.0,4405.0,4351.0,4402.0,8515800
2025-10-29,4315.0,4315.0,4392.0,4293.0,4392.0,9830300
2025-10-30,4232.0,4232.0,4289.0,4216.0,4283.0,20628100
2025-10-31,4332.0,4332.0,4435.0,4293.0,4350.0,16334500
2025-11-04,4295.0,4295.0,4410.0,4287.0,4410.0,14034600
2025-11-05,4244.0,4244.0,4347.0,4187.0,4307.0,15647000
2025-11-06,4350.0,4350.0,4383.0,4288.0,4314.0,13588900
2025-11-07,4259.0,4259.0,4336.0,4192.0,4300.0,13062400
2025-11-10,4284.0,4284.0,4323.0,4235.0,4320.0,10442600
2025-11-11,4520.0,4520.0,4569.0,4283.0,4354.0,30172000
2025-11-12,4686.0,4686.0,4713.0,4603.0,4644.0,21405000
2025-11-13,4669.0,4669.0,4776.0,4645.0,4650.0,13979200
2025-11-14,4700.0,4700.0,4725.0,4591.0,4599.0,13383800
2025-11-17,4548.0,4548.0,4619.0,4504.0,4560.0,15228300
2025-11-18,4409.0,4409.0,4560.0,4408.0,4560.0,12530700
2025-11-19,4332.0,4332.0,4427.0,4330.0,4377.0,13170800
2025-11-20,4461.0,4461.0,4583.0,4443.0,4572.0,13478300
2025-11-21,4507.0,4507.0,4560.0,4410.0,4427.0,24795200
